days,go-commits,go-authors,rust-commits,rust-authors,swift-commits,swift-authors
1423,11364,239,24311,552,14846,41
1424,11405,243,24344,553,14876,41
1425,11422,243,24368,555,14895,41
1426,11439,243,24414,558,14928,42
1427,11440,243,24435,558,14963,42
1428,11452,243,24465,558,14980,42
1429,11488,243,24481,558,14997,42
1430,11526,244,24492,558,15016,42
1431,11546,244,24496,558,15040,42
1432,11570,244,24515,560,15068,42
1433,11602,244,24549,560,15089,43
1434,11619,244,24593,561,15127,43
1435,11624,244,24615,563,15139,43
1436,11659,245,24629,564,15155,43
1437,11679,245,24650,564,15177,45
1438,11716,246,24671,564,15216,45
1439,11741,246,24686,567,15255,45
1440,11789,247,24703,568,15330,45
1441,11804,247,24724,569,15358,45
1442,11826,248,24737,571,15372,45
1443,11864,250,24759,572,15373,45
1444,11903,250,24778,574,15431,45
1445,11938,252,24791,577,15486,45
1446,11982,252,24808,579,15538,45
1447,12016,252,24823,579,15582,46
1448,12036,252,24835,581,15617,46
1449,12059,252,24853,581,15619,46
1450,12080,252,24876,582,15626,46
1451,12116,252,24902,582,15682,46
1452,12152,252,24921,582,15737,46
1453,12181,252,24934,583,15783,46
1454,12202,252,24951,584,15848,46
1455,12207,252,24968,587,15872,46
1456,12211,252,24984,587,15887,46
1457,12232,252,25005,587,15915,46
1458,12256,253,25034,588,15961,46
1459,12286,253,25044,588,15983,46
1460,12318,253,25048,588,16043,46
1461,12332,253,25082,588,16093,46
1462,12341,253,25107,592,16147,46
1463,12347,254,25136,592,16166,46
1464,12397,256,25150,592,16188,46
1465,12429,256,25163,593,16233,46
1466,12494,256,25175,594,16299,47
1467,12530,256,25184,594,16390,48
1468,12541,257,25209,595,16463,48
1469,12549,258,25231,596,16517,48
1470,12553,258,25255,596,16532,48
1471,12581,259,25287,597,16542,48
1472,12612,259,25307,597,16591,48
1473,12633,259,25320,598,16657,48
1474,12656,259,25329,601,16717,48
1475,12666,260,25354,605,16788,48
1476,12673,260,25373,606,16852,48
1477,12674,260,25399,610,16882,48
1478,12682,260,25424,612,16908,48
1479,12696,260,25472,619,16946,48
1480,12708,260,25494,621,16970,48
1481,12719,260,25519,621,16996,48
1482,12731,260,25545,621,17015,48
1483,12736,260,25556,623,17034,48
1484,12738,260,25585,623,17042,48
1485,12754,261,25615,626,17043,48
1486,12782,261,25641,628,17050,48
1487,12790,261,25650,631,17071,48
1488,12790,261,25657,632,17097,48
1489,12800,262,25678,634,17128,48
1490,12800,262,25696,637,17151,48
1491,12800,262,25710,637,17155,48
1492,12810,263,25732,637,17155,48
1493,12818,264,25754,638,17177,48
1494,12828,264,25773,638,17205,48
1495,12841,265,25803,638,17234,48
1496,12844,265,25827,639,17295,48
1497,12846,265,25853,639,17328,48
1498,12846,265,25870,639,17333,48
1499,12850,265,25891,640,17333,48
1500,12868,266,25931,642,17348,48
1501,12876,266,25941,642,17367,48
1502,12884,266,25959,642,17396,48
1503,12887,266,25989,643,17447,49
1504,12889,266,26007,644,17493,50
1505,12890,266,26040,644,17508,50
1506,12895,266,26055,646,17514,50
1507,12901,266,26083,649,17528,50
1508,12906,267,26102,651,17548,50
1509,12911,267,26111,651,17575,50
1510,12920,267,26138,652,17613,51
1511,12925,268,26153,653,17630,51
1512,12926,268,26185,654,17640,51
1513,12936,268,26210,655,17641,51
1514,12945,268,26224,657,17664,51
1515,12961,268,26234,659,17688,51
1516,12974,268,26240,661,17727,51
1517,12984,269,26264,661,17764,51
1518,12985,269,26278,662,17796,51
